,ent,ent_label
102,the State of Georgia,GPE
103,Province,GPE
104,Mississippi,GPE
105,the United States,GPE
106,Spain,GPE
107,Mississippi,GPE
108,the United States,GPE
109,Africa,LOC
110,the United States,GPE
111,the Gulf of Mexico,LOC
112,Galvezton,PERSON
113,the United States,GPE
114,Louisiana,GPE
115,the United States,GPE
116,the United States,GPE
117,three,CARDINAL
118,Europe,LOC
119,the United States,GPE
120,Europe,LOC
121,Indian,NORP
122,Treasury,ORG
123,Navy,ORG
124,more than $ 18 million,MONEY
125,the present year,DATE
126,more than $ 6 million,MONEY
127,Treasury,ORG
128,the first day of January,DATE
129,year,DATE
130,Treasury,ORG
131,the year 1818,DATE
132,the present year,DATE
133,$ 20 million,MONEY
134,$ 2.5 million,MONEY
135,$ 1.5 million,MONEY
136,"500,000",MONEY
137,$ 24.5 million,MONEY
138,annual,DATE
139,Army,ORG
140,Navy,ORG
141,$ 11.8 million,MONEY
142,$ 10 million,MONEY
143,$ 21.8 million,MONEY
144,$ 2.7 million,MONEY
145,Treasury,ORG
146,"the first day of January, 1818",DATE
147,Treasury,ORG
148,Louisiana,GPE
149,the year 1819,DATE
150,about $ 5 million,MONEY
151,the year 1825,DATE
152,1812,DATE
153,Treasury,ORG
154,Mississippi,GPE
155,the year 1819,DATE
156,$ 1.5 million,MONEY
157,annual,DATE
158,$ 26 million,MONEY
159,the year 1819,DATE
160,more than $ 4 million,MONEY
161,the Department of War,ORG
162,"800,000",CARDINAL
163,Congress,ORG
164,Atlantic,LOC
165,Mediterranean,LOC
166,the Gulf of Mexico,LOC
167,Indian,NORP
168,Lake Erie,LOC
169,the United States,GPE
170,Indian,NORP
171,Ohio,GPE
172,the Michigan Territory,LOC
173,Indiana,GPE
174,Cherokee,PRODUCT
175,Georgia,GPE
176,Mississippi,GPE
177,North Carolina,GPE
178,Georgia,GPE
179,Tennessee,GPE
180,the Alabama Territory,FAC
181,Ohio,GPE
182,Lake Erie,LOC
183,the Michigan Territory,LOC
184,Indiana,GPE
185,the Illinois Territory,ORG
186,Missouri,GPE
187,Mississippi,GPE
188,Mobile,GPE
189,Lake Erie,LOC
190,annual,DATE
191,Congress,ORG
192,the United States,GPE
193,Lakes,ORG
194,Mississippi,GPE
195,Mobile,GPE
196,Indian,NORP
197,those quarters,DATE
198,Indian,NORP
199,the Bay of Fundy,LOC
200,Mississippi,GPE
201,Indian,NORP
202,no quarter,DATE
203,first,ORDINAL
204,Congress,ORG
205,the United States,GPE
206,Congress,ORG
207,Congress,ORG
208,first,ORDINAL
209,Constitution,LAW
210,Congress,ORG
211,Congress,ORG
212,Congress,ORG
213,Congress,ORG
214,Constitution,LAW
215,Congress,ORG
216,Union,ORG
217,Congress,ORG
218,the United States,GPE
219,Congress,ORG
220,Capitol,FAC
221,two,CARDINAL
222,Congress,ORG
223,Congress,ORG
224,Congress,ORG
225,the United States,GPE
226,Revolutionary,ORG
227,a few years,DATE
228,annual,DATE
229,Congress,ORG
230,Fellow Citizens,PERSON
231,Senate,ORG
232,the House of Representatives,ORG
233,Providence,GPE
234,Great Britain,GPE
235,early in the month of July,DATE
236,two,CARDINAL
237,Congress,ORG
238,the United States,GPE
239,London,GPE
240,the last summer,DATE
241,the British Government,ORG
242,two,CARDINAL
243,the British Government,ORG
244,London,GPE
245,less than two,CARDINAL
246,the United States,GPE
247,Paris,GPE
248,London,GPE
249,less than eight years,DATE
250,Spain,GPE
251,1802,DATE
252,the Spanish Government,ORG
253,two,CARDINAL
254,Spain,GPE
255,the United States,GPE
256,that quarter,DATE
257,Spanish,NORP
258,Spain,GPE
259,Pensacola,GPE
260,St. Augustine,GPE
261,Indians,NORP
262,#,CARDINAL
263,Spain,GPE
264,Florida,GPE
265,the United States,GPE
266,Amelia Island,GPE
267,last year,DATE
268,150,CARDINAL
269,Spanish,NORP
270,several months,DATE
271,Spanish,NORP
272,Spanish,NORP
273,the United States,GPE
274,the United States,GPE
275,Indian,NORP
276,Florida,GPE
277,Indians,NORP
278,Spain,GPE
279,Spain,GPE
280,1795,DATE
281,the United States,GPE
282,the United States,GPE
283,Spain,GPE
284,the United States,GPE
285,Spain,GPE
286,Amelia Island,LOC
287,the United States,GPE
288,Florida,GPE
289,Indians,NORP
290,Spain,GPE
291,Spain,GPE
292,Amelia Island,ORG
293,Spain,GPE
294,the Spanish Government,ORG
295,Spain,GPE
296,the United States,GPE
297,the Governments of Buenos Ayres,ORG
298,Venezuela,GPE
299,Major-General Jackson,ORG
300,Florida,GPE
301,Seminoles,LOC
302,Spain,GPE
303,Spain,GPE
304,two,CARDINAL
305,5th,ORDINAL
306,1795,DATE
307,Spain,GPE
308,the United States,GPE
309,Congress,ORG
310,Jackson,PERSON
311,St. Marks,GPE
312,Indian,NORP
313,Florida,GPE
314,Spain,GPE
315,Spanish,NORP
316,St. Marks,GPE
317,Pensacola,ORG
318,the United States,GPE
319,Spain,GPE
320,Executive,ORG
321,Congress,ORG
322,Spain,GPE
323,the United States,GPE
324,the United States,GPE
325,War,EVENT
326,State,ORG
327,Spain,GPE
