,ent,ent_label
1011,Bobby Baker,PERSON
1012,Senate,ORG
1013,Senate,ORG
1014,South Viet-Nam,GPE
1015,North Viet-Nam,GPE
1016,McNamara,PERSON
1017,Saigon,GPE
1018,Viet-Nam,ORG
1019,the next few days,DATE
1020,Viet-Nam,GPE
1021,McNamara,PERSON
1022,Lodge,PERSON
1023,Q.,ORG
1024,South Viet-Nam,GPE
1025,Communist,NORP
1026,China,GPE
1027,the Soviet Union,GPE
1028,South Vietnamese,NORP
1029,Eisenhower,PERSON
1030,Normandy,GPE
1031,Viet-Nam,GPE
1032,Q.,ORG
1033,Henry Cabot Lodge,PERSON
1034,South Viet-Nam,NORP
1035,1960,DATE
1036,Republican,NORP
1037,South Viet-Nam,GPE
1038,Lodge,PERSON
1039,Senate,ORG
1040,the United States Army,GPE
1041,Senate,ORG
1042,the United Nations,ORG
1043,Eisenhower,PERSON
1044,Kennedy,PERSON
1045,Rusk,PERSON
1046,Viet-Nam,ORG
1047,November,DATE
1048,Panama,GPE
1049,May,DATE
1050,Panamanians,NORP
1051,Panama,GPE
1052,first,ORDINAL
1053,30 minutes,TIME
1054,Mann,PERSON
1055,One,CARDINAL
1056,1903,DATE
1057,1963,DATE
1058,1964,DATE
1059,the first day,DATE
1060,Panama,GPE
1061,St. Louis,GPE
1062,Asia,LOC
1063,Laos,GPE
1064,' 62,DATE
1065,the United States,GPE
1066,Laos,GPE
1067,today,DATE
1068,The United States,GPE
1069,the White House,FAC
1070,the twentieth century,DATE
1071,110,CARDINAL
1072,120,CARDINAL
1073,today,DATE
1074,centuries,DATE
1075,centuries,DATE
1076,35 days,DATE
1077,the Security Council,ORG
1078,Cuban,NORP
1079,100 million,CARDINAL
1080,minutes,TIME
1081,first hundred days,DATE
1082,the 30 years,DATE
1083,Washington,GPE
1084,the last 3 years,DATE
1085,the last hundred days,DATE
1086,last November,DATE
1087,Cabinet,ORG
1088,Congress,ORG
1089,10,CARDINAL
1090,15,CARDINAL
1091,the first hundred days,DATE
1092,last year,DATE
1093,Congress,ORG
1094,Congress,ORG
1095,the House of Representatives,ORG
1096,some 6 or 7 months,DATE
1097,United States,GPE
1098,Senate,ORG
1099,almost 13 months,DATE
1100,the American Nation,ORG
1101,the first hundred days,DATE
1102,Kennedy,PERSON
1103,Republican,NORP
1104,next month,DATE
1105,Geneva,GPE
1106,the United Nations,ORG
1107,more than 100,CARDINAL
1108,Fulbright,PERSON
1109,Richard Nixon,PERSON
1110,first,ORDINAL
1111,Richard Nixon,PERSON
1112,next year,DATE
1113,two,CARDINAL
1114,Q.,ORG
1115,American,NORP
1116,George Ball,PERSON
1117,Turkey,GPE
1118,Greece,GPE
1119,Great Britain,GPE
1120,the United Nations,ORG
1121,yesterday,DATE
1122,the Commerce Department,ORG
1123,Cuban,NORP
1124,Paul Findley,PERSON
1125,Senate,ORG
1126,Keating,PERSON
1127,Yesterday,DATE
1128,the Commerce Department,ORG
1129,a few hours,TIME
1130,the Commerce Department,ORG
1131,the Commerce Department,ORG
1132,Jefferson,PERSON
1133,daily,DATE
1134,at least two,CARDINAL
1135,Republicans,NORP
1136,Republican,NORP
1137,House,ORG
1138,Senate,ORG
1139,House,ORG
1140,Q.,ORG
1141,Viet-Nam,ORG
1142,the past week,DATE
1143,last weekend,DATE
1144,Viet-Nam,GPE
1145,Viet-Nam,ORG
1146,1961,DATE
1147,California,GPE
1148,the far East,LOC
1149,Bundy,PERSON
1150,Viet-Nam,LOC
1151,Lodge,PERSON
1152,November,DATE
1153,Hilsman,PERSON
1154,Hilsman,PERSON
1155,Rusk,PERSON
1156,McNamara,PERSON
1157,Bundy,PERSON
1158,the State Department,ORG
1159,Hilsman,PERSON
1160,McNamara,PERSON
1161,Bundy,PERSON
1162,Hilsman,PERSON
1163,Good afternoon,TIME
1164,Truman,PERSON
1165,Johnson,PERSON
1166,Archbishop Iakovos,PERSON
1167,John Plumides,PERSON
1168,American,NORP
1169,John Pappas,PERSON
1170,Boston,GPE
1171,John Brademas,PERSON
1172,Indiana,GPE
1173,Mike Manatos,PERSON
1174,George Vournas,PERSON
1175,Washington,GPE
1176,D.C.,GPE
1177,today,DATE
1178,Walter Tobriner,PERSON
1179,the District of Columbia Board of Commissioners,GPE
1180,Tobriner,PERSON
1181,today,DATE
1182,Laurence K. Walrath,PERSON
1183,the Interstate Commerce Commission,ORG
1184,7-year,DATE
1185,Walrath,PERSON
1186,Commission,ORG
1187,today,DATE
1188,James L. Robertson,PERSON
1189,14-year,DATE
1190,the Federal Reserve Board,ORG
1191,Robertson,PERSON
1192,Board,ORG
1193,today,DATE
1194,Hugh Owens,PERSON
1195,the Securities and Exchange Commission,ORG
1196,Owens,PERSON
1197,Oklahoma City,GPE
1198,the Oklahoma Securities Commission,ORG
1199,Frank Stanton,PERSON
1200,the Columbia Broadcasting System,ORG
1201,1881,DATE
1202,Advisory Commission on Information,ORG
1203,the White House,ORG
1204,about 10 to 1,CARDINAL
1205,the many hundreds,CARDINAL
1206,American,NORP
1207,1,CARDINAL
1208,millions,CARDINAL
1209,The Department of Labor's,ORG
1210,yesterday,DATE
1211,February,DATE
1212,1962,DATE
1213,this week,DATE
1214,Tuesday,DATE
1215,last year,DATE
1216,711,CARDINAL
1217,November 22,DATE
1218,806,CARDINAL
1219,yesterday,DATE
1220,approximately $ 45 billion,MONEY
1221,last week,DATE
1222,January,DATE
1223,December,DATE
1224,February,DATE
1225,the National Association of Purchasing Agents,ORG
1226,last month,DATE
1227,only 21 percent,PERCENT
1228,the preceding 5 months,DATE
1229,three,CARDINAL
1230,the first too days,DATE
1231,"next Sunday, March 15",DATE
1232,Saturday,DATE
1233,afternoon,TIME
1234,Kennedy,PERSON
1235,1962,DATE
1236,1963,DATE
1237,"Monday, March 9 ' Here",DATE
1238,January,DATE
1239,Twenty-nine,CARDINAL
1240,Twenty-two,CARDINAL
1241,GS-12,PRODUCT
1242,"10,000",MONEY
1243,"20,000",MONEY
1244,One hundred and sixty-two,CARDINAL
1245,GS-12 through GS-18,ORG
1246,"the Commission on Heart Disease, Cancer",ORG
1247,the United States,GPE
1248,Fifteen million,CARDINAL
1249,Americans,NORP
1250,today,DATE
1251,Twenty-three million days,CARDINAL
1252,Two-thirds,CARDINAL
1253,Americans,NORP
1254,Michael E. DeBakey,PERSON
1255,Baylor University College of Medicine,ORG
1256,Houston,GPE
1257,Five,CARDINAL
1258,Barry Bingham,PERSON
1259,Marion Folsom,PERSON
1260,Emerson Foote,ORG
1261,Howard Rusk,PERSON
1262,Paul Sanger,PERSON
1263,Edward Dempsey,PERSON
1264,Hugh Hussey,PERSON
1265,Irving S. Wright,PERSON
1266,J. Willis Hurst,PERSON
1267,Charles W. Mayo,PERSON
1268,Sidney Farber,PERSON
1269,R. Lee Clark,PERSON
1270,E. M. Papper,PERSON
1271,Philip Handler,PERSON
1272,Florence Mahoney,PERSON
1273,Harry Truman,PERSON
1274,Samuel Bellet,PERSON
1275,John Meyer,PERSON
1276,Marion Fay,PERSON
1277,Helen Taussig,PERSON
1278,Jane Wright,PERSON
1279,John Carter,PERSON
1280,Frank Horsfall,PERSON
1281,Alfred Gruenther,PERSON
1282,Arthur Hanisch,PERSON
1283,James F. Oates,PERSON
1284,David Sarnoff,PERSON
1285,today,DATE
1286,Executive,ORG
1287,the Committee for the Preservation of the White House,ORG
1288,seven,CARDINAL
1289,six,CARDINAL
1290,American,NORP
1291,the White House,ORG
1292,the past few years,DATE
1293,John F. Kennedy,PERSON
1294,White House,ORG
1295,Johnson,PERSON
1296,Kennedy,PERSON
1297,one,CARDINAL
1298,seven,CARDINAL
1299,Henry Du Pont,PERSON
1300,James Fosburgh,PERSON
1301,George Brown,PERSON
1302,William Benton,PERSON
1303,Marshall Field,PERSON
1304,Bruce Catton,PERSON
1305,the Fine Arts,ORG
1306,Advisory Committees,PERSON
1307,Committee for the Preservation of the White House,ORG
1308,the Council of the Organization of American States,ORG
1309,March 16th,DATE
1310,Inter-American Committee,ORG
1311,the Alliance for Progress The Committee's,ORG
1312,Colombian,NORP
1313,Carlos Sanz de Santamaria,PERSON
1314,Committee,ORG
1315,those same days,DATE
1316,the United States,GPE
1317,AID,ORG
1318,Latin American,NORP
1319,Washington,GPE
1320,3-day,DATE
1321,the Alliance for Progress,ORG
1322,Congress,ORG
1323,Ambassadors,ORG
1324,AID,ORG
1325,Congress,ORG
1326,Monday,DATE
1327,1965,DATE
1328,Federal,ORG
1329,"6,526",CARDINAL
1330,the current fiscal year,DATE
1331,"7,265",CARDINAL
1332,the fiscal year July 1,DATE
1333,1965,DATE
1334,nearly $ 42 million,MONEY
1335,tomorrow,DATE
1336,last November and December,DATE
1337,the Federal Government,ORG
1338,Salinger,PERSON
1339,first,ORDINAL
1340,the next several months,DATE
1341,158,CARDINAL
1342,more than $ 1 million,MONEY
1343,Q. Mr,PERSON
1344,Soviet,NORP
1345,American,NORP
1346,the United States,GPE
1347,the Soviet Union,GPE
1348,the Soviet Union,GPE
1349,New Hampshire,GPE
1350,the next few days,DATE
1351,States,GPE
1352,New Hampshire,GPE
1353,two,CARDINAL
1354,Senate,ORG
1355,Senate,ORG
1356,Q.,ORG
1357,1881,DATE
1358,Saigon,GPE
1359,McNamara,PERSON
1360,Q.,ORG
1361,Robert Kennedy,PERSON
1362,Democrats,NORP
1363,Senate,ORG
1364,Monday,DATE
1365,House,ORG
1366,Senate,ORG
1367,Senate,ORG
1368,one,CARDINAL
1369,Cormier,PERSON
1370,the Chamber of Commerce,ORG
1371,the United States,GPE
1372,the Soviet Union,GPE
1373,Thomas,PERSON
1374,Rockefeller,ORG
1375,this week,DATE
1376,France,GPE
1377,the United States,GPE
1378,today,DATE
1379,de Gaulle,PERSON
1380,first,ORDINAL
1381,de Gaulle,PERSON
1382,secondly,ORDINAL
1383,de Gaulle,PERSON
1384,de Gaulle,PERSON
1385,two,CARDINAL
1386,France,GPE
1387,de Gaulle,PERSON
1388,French,NORP
1389,just a minute,TIME
1390,Senate,ORG
1391,Senate,ORG
1392,Q.,ORG
1393,Republicans,NORP
1394,Viet-Nam,GPE
1395,Republicans,NORP
1396,Viet-Nam,ORG
1397,Eisenhower,PERSON
1398,Republicans,NORP
1399,Democrats,NORP
1400,Henry Cabot Lodge,PERSON
1401,today,DATE
1402,Lodge,PERSON
1403,today,DATE
1404,Oregon,GPE
1405,New Hampshire,GPE
1406,last week,DATE
1407,the State Department,ORG
1408,Soviet,NORP
1409,Khrushchev,PERSON
1410,Wednesday,DATE
1411,Khrushchev,ORG
1412,Soviet,NORP
1413,the Soviet Union,GPE
1414,the United States,GPE
1415,two,CARDINAL
1416,the Soviet Union,GPE
1417,1881,DATE
1418,Russians,NORP
1419,Western,NORP
1420,Q.,ORG
1421,1881,DATE
1422,Public Health Service,ORG
1423,the Surgeon General,ORG
1424,second,ORDINAL
1425,"Health, Education",ORG
1426,Welfare,PRODUCT
1427,Q.,ORG
1428,de Gaulle,PERSON
1429,the United States,GPE
1430,France,GPE
1431,Southeast Asia,LOC
1432,de Gaulle,PERSON
